learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,0.53125,4.8965254488090676E-8,100000.0,88.476,75.20443930113807,75.21560530786932,68.86162825258721,100000.0,356280.0,193.0,97.0,97.0,9.0,0.0,0.0,1.0
200000.0,0.984375,1.333898075649308E-7,200000.0,87.2695,72.6882946873572,72.64287786480999,65.52055684957477,200000.0,720200.0,391.0,196.0,196.0,10.0,0.0,0.0,1.0
300000.0,1.46875,2.559381795840131E-7,300000.0,86.44366666666666,70.88605262450685,70.87060845897646,63.288499729192985,300000.0,977976.0,535.0,268.0,268.0,11.0,0.0,0.0,1.0
400000.0,1.96875,4.23400326528483E-7,400000.0,85.73375,69.36572747989787,69.32236647582184,61.32497458488647,400000.0,1294640.0,705.0,353.0,353.0,13.0,0.0,0.0,1.0
500000.0,2.5,6.370750876764457E-7,500000.0,84.4304,66.65442836784582,66.5285063204059,57.83475783475785,500000.0,1554736.0,859.0,430.0,430.0,14.0,0.0,0.0,1.0
600000.0,3.03125,8.885246158267061E-7,600000.0,83.86933333333333,65.42628460950513,65.35918938556084,56.351500665208455,600000.0,1829592.0,1003.0,502.0,502.0,14.0,0.0,0.0,1.0
700000.0,3.59375,1.186071701037387E-6,700000.0,83.10557142857142,63.815328567249054,63.746750539533046,54.29985779206725,700000.0,2044728.0,1109.0,555.0,555.0,14.0,0.0,0.0,1.0
800000.0,4.171875,1.5256657045231097E-6,800000.0,82.400375,62.302361383676065,62.194129761748144,52.340864855716354,800000.0,2270600.0,1237.0,619.0,619.0,14.0,0.0,0.0,1.0
900000.0,4.765625,1.9132775034651987E-6,900000.0,81.79555555555555,61.01768395364976,60.89392142026861,50.65387233376101,900000.0,2523456.0,1375.0,688.0,688.0,14.0,0.0,0.0,1.0
1000000.0,5.546875,2.472040327524559E-6,1000000.0,81.1943,59.69411198302939,59.60983760773709,49.011861994170665,1000000.0,2764648.0,1509.0,755.0,755.0,14.0,3541.764238410596,0.0,1.0338874029929335
