learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,1.028884474,7.118534703598254E-9,100000.0,87.64999999999999,74.78492182474986,74.7990042035669,71.49254420386869,100000.0,26744.0,168.0,41.0,41.0,3.0,0.0,0.0,1.0
200000.0,1.742655076,1.8216916524304285E-8,200000.0,87.5425,74.60453768171503,74.62882629681677,71.29542155349202,200000.0,60104.0,252.0,15.0,15.0,3.0,0.0,0.0,1.0
300000.0,2.429960768,2.2737468320843247E-8,300000.0,87.349,74.21676649833651,74.21338352097078,70.85895929790615,300000.0,25424.0,294.0,-66.0,-66.0,2.0,0.0,0.0,1.0
400000.0,3.102863747,2.728027257671373E-8,400000.0,87.644,74.80752752941981,74.83592743639484,71.53749582483904,400000.0,26096.0,388.0,-88.0,-88.0,2.0,0.0,0.0,1.0
500000.0,3.83081272,2.8316790919970306E-8,500000.0,87.7996,75.122048845055,75.1526433054862,71.89145850900596,500000.0,5504.0,519.0,-91.0,-91.0,0.0,0.0,0.0,1.0
600000.0,4.494811082,2.991225431318912E-8,600000.0,87.68883333333333,74.90554630503088,74.93467889161109,71.60992520735168,600000.0,9288.0,588.0,-132.0,-132.0,1.0,0.0,0.0,1.0
700000.0,5.141952734,3.1973480206016034E-8,700000.0,87.82985714285715,75.19387483349888,75.23445448995612,71.94489817424981,700000.0,12312.0,750.0,-94.0,-94.0,1.0,0.0,0.0,1.0
800000.0,5.806723155,3.514610421542078E-8,800000.0,87.77625,75.08147954613297,75.1392522200274,71.81811894085234,800000.0,18448.0,823.0,-136.0,-136.0,2.0,0.0,0.0,1.0
900000.0,6.460191978,4.016900254964828E-8,900000.0,87.883,75.29444540445004,75.34934922263864,72.05252596698675,900000.0,29712.0,926.0,-155.0,-155.0,3.0,0.0,0.0,1.0
1000000.0,7.119608011,4.107927825648544E-8,1000000.0,87.8436,75.2121500480972,75.27267105760977,71.94642395598714,1000000.0,5336.0,1067.0,-134.0,-134.0,0.0,0.0,0.0,1.0
